ROI_Image_Label,Yeo_7_Network,Yeo_17_Network,Yeo_7_Network_Sensorimotor,Yeo_7_Network_Cognitive,Yeo_7_Network_PriCognitive,Yeo_17_Network_Sensorimotor,Yeo_17_Network_Cognitive,Yeo_17_Network_PriCognitive
1,3,5,NaN,3,3,NaN,5,5
2,6,13,NaN,6,6,NaN,13,13
3,2,4,2,NaN,NaN,4,NaN,NaN
4,6,13,NaN,6,6,NaN,13,13
5,1,2,1,NaN,NaN,2,NaN,NaN
6,2,3,2,NaN,NaN,3,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,2,4,2,NaN,NaN,4,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,5,10,NaN,5,NaN,NaN,10,NaN
11,4,7,NaN,4,NaN,NaN,7,NaN
12,1,2,1,NaN,NaN,2,NaN,NaN
13,2,4,2,NaN,NaN,4,NaN,NaN
14,6,8,NaN,6,6,NaN,8,NaN
15,3,5,NaN,3,3,NaN,5,5
16,3,5,NaN,3,3,NaN,5,5
17,4,7,NaN,4,NaN,NaN,7,NaN
18,4,7,NaN,4,NaN,NaN,7,NaN
19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,6,12,NaN,6,6,NaN,12,12
24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,7,17,NaN,7,7,NaN,17,17
27,2,3,2,NaN,NaN,3,NaN,NaN
28,7,16,NaN,7,7,NaN,16,16
29,3,12,NaN,3,3,NaN,12,12
30,4,8,NaN,4,NaN,NaN,8,NaN
31,5,9,NaN,5,NaN,NaN,9,NaN
33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,2,4,2,NaN,NaN,4,NaN,NaN
37,1,2,1,NaN,NaN,2,NaN,NaN
38,7,16,NaN,7,7,NaN,16,16
39,7,17,NaN,7,7,NaN,17,17
40,5,9,NaN,5,NaN,NaN,9,NaN
41,6,12,NaN,6,6,NaN,12,12
42,1,1,1,NaN,NaN,1,NaN,NaN
43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,2,3,2,NaN,NaN,3,NaN,NaN
45,6,13,NaN,6,6,NaN,13,13
46,7,16,NaN,7,7,NaN,16,16
47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,7,16,NaN,7,7,NaN,16,16
51,4,8,NaN,4,NaN,NaN,8,NaN
52,3,6,NaN,3,3,NaN,6,6
53,1,1,1,NaN,NaN,1,NaN,NaN
54,6,12,NaN,6,6,NaN,12,12
55,2,4,2,NaN,NaN,4,NaN,NaN
56,4,8,NaN,4,NaN,NaN,8,NaN
57,2,14,2,NaN,NaN,14,NaN,NaN
58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1,2,1,NaN,NaN,2,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,7,13,NaN,7,7,NaN,13,13
62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,6,12,NaN,6,6,NaN,12,12
65,4,7,NaN,4,NaN,NaN,7,NaN
66,5,15,NaN,5,NaN,NaN,15,15
67,6,8,NaN,6,6,NaN,8,NaN
68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1,15,1,NaN,NaN,NaN,15,15
70,1,11,1,NaN,NaN,NaN,11,11
71,2,3,2,NaN,NaN,3,NaN,NaN
72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,2,4,2,NaN,NaN,4,NaN,NaN
75,3,5,NaN,3,3,NaN,5,5
76,7,17,NaN,7,7,NaN,17,17
77,2,3,2,NaN,NaN,3,NaN,NaN
78,1,1,1,NaN,NaN,1,NaN,NaN
79,7,17,NaN,7,7,NaN,17,17
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,2,3,2,NaN,NaN,3,NaN,NaN
82,6,8,NaN,6,6,NaN,8,NaN
83,7,16,NaN,7,7,NaN,16,16
84,4,4,NaN,4,NaN,4,NaN,NaN
85,1,1,1,NaN,NaN,1,NaN,NaN
86,1,2,1,NaN,NaN,2,NaN,NaN
87,3,6,NaN,3,3,NaN,6,6
88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,3,12,NaN,3,3,NaN,12,12
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,6,8,NaN,6,6,NaN,8,NaN
92,3,6,NaN,3,3,NaN,6,6
93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,7,17,NaN,7,7,NaN,17,17
96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,4,7,NaN,4,NaN,NaN,7,NaN
98,7,15,NaN,7,7,NaN,15,15
99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,7,16,NaN,7,7,NaN,16,16
101,4,8,NaN,4,NaN,NaN,8,NaN
102,2,3,2,NaN,NaN,3,NaN,NaN
103,2,3,2,NaN,NaN,3,NaN,NaN
104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,2,3,2,NaN,NaN,3,NaN,NaN
106,7,14,NaN,7,7,14,NaN,NaN
107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,2,6,2,NaN,NaN,NaN,6,6
110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,4,7,NaN,4,NaN,NaN,7,NaN
112,7,17,NaN,7,7,NaN,17,17
113,7,17,NaN,7,7,NaN,17,17
114,4,14,NaN,4,NaN,14,NaN,NaN
115,7,17,NaN,7,7,NaN,17,17
116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,1,2,1,NaN,NaN,2,NaN,NaN
118,3,11,NaN,3,3,NaN,11,11
119,1,1,1,NaN,NaN,1,NaN,NaN
120,1,1,1,NaN,NaN,1,NaN,NaN
121,6,13,NaN,6,6,NaN,13,13
122,2,4,2,NaN,NaN,4,NaN,NaN
123,7,14,NaN,7,7,14,NaN,NaN
124,6,8,NaN,6,6,NaN,8,NaN
125,2,4,2,NaN,NaN,4,NaN,NaN
126,3,5,NaN,3,3,NaN,5,5
127,7,17,NaN,7,7,NaN,17,17
128,4,8,NaN,4,NaN,NaN,8,NaN
130,6,12,NaN,6,6,NaN,12,12
131,5,9,NaN,5,NaN,NaN,9,NaN
132,6,8,NaN,6,6,NaN,8,NaN
133,5,10,NaN,5,NaN,NaN,10,NaN
134,1,2,1,NaN,NaN,2,NaN,NaN
135,7,16,NaN,7,7,NaN,16,16
136,1,1,1,NaN,NaN,1,NaN,NaN
137,7,16,NaN,7,7,NaN,16,16
138,3,5,NaN,3,3,NaN,5,5
139,7,11,NaN,7,7,NaN,11,11
140,4,7,NaN,4,NaN,NaN,7,NaN
141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143,7,17,NaN,7,7,NaN,17,17
144,4,7,NaN,4,NaN,NaN,7,NaN
145,7,14,NaN,7,7,14,NaN,NaN
146,1,1,1,NaN,NaN,1,NaN,NaN
147,3,5,NaN,3,3,NaN,5,5
148,6,12,NaN,6,6,NaN,12,12
149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,4,3,NaN,4,NaN,3,NaN,NaN
151,5,15,NaN,5,NaN,NaN,15,15
152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153,7,16,NaN,7,7,NaN,16,16
154,2,4,2,NaN,NaN,4,NaN,NaN
155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156,4,7,NaN,4,NaN,NaN,7,NaN
157,7,13,NaN,7,7,NaN,13,13
158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159,7,17,NaN,7,7,NaN,17,17
160,7,16,NaN,7,7,NaN,16,16
161,1,2,1,NaN,NaN,2,NaN,NaN
162,7,16,NaN,7,7,NaN,16,16
163,1,1,1,NaN,NaN,1,NaN,NaN
164,3,6,NaN,3,3,NaN,6,6
165,4,7,NaN,4,NaN,NaN,7,NaN
166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
167,5,10,NaN,5,NaN,NaN,10,NaN
168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170,3,5,NaN,3,3,NaN,5,5
171,1,1,1,NaN,NaN,1,NaN,NaN
172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
173,7,17,NaN,7,7,NaN,17,17
174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,6,8,NaN,6,6,NaN,8,NaN
176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,4,7,NaN,4,NaN,NaN,7,NaN
178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,4,14,NaN,4,NaN,14,NaN,NaN
181,2,3,2,NaN,NaN,3,NaN,NaN
182,1,2,1,NaN,NaN,2,NaN,NaN
183,7,13,NaN,7,7,NaN,13,13
184,4,7,NaN,4,NaN,NaN,7,NaN
185,1,1,1,NaN,NaN,1,NaN,NaN
186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188,7,16,NaN,7,7,NaN,16,16
189,7,17,NaN,7,7,NaN,17,17
190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
191,4,4,NaN,4,NaN,4,NaN,NaN
192,1,1,1,NaN,NaN,1,NaN,NaN
193,7,17,NaN,7,7,NaN,17,17
194,7,17,NaN,7,7,NaN,17,17
195,5,15,NaN,5,NaN,NaN,15,15
196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198,7,17,NaN,7,7,NaN,17,17
199,2,3,2,NaN,NaN,3,NaN,NaN
200,7,14,NaN,7,7,14,NaN,NaN
201,2,3,2,NaN,NaN,3,NaN,NaN
202,6,12,NaN,6,6,NaN,12,12
203,6,13,NaN,6,6,NaN,13,13
204,1,15,1,NaN,NaN,NaN,15,15
205,6,11,NaN,6,6,NaN,11,11
206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
207,6,13,NaN,6,6,NaN,13,13
208,4,7,NaN,4,NaN,NaN,7,NaN
209,7,17,NaN,7,7,NaN,17,17
210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
211,1,2,1,NaN,NaN,2,NaN,NaN
212,3,5,NaN,3,3,NaN,5,5
214,7,16,NaN,7,7,NaN,16,16
215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
217,7,16,NaN,7,7,NaN,16,16
218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
219,7,17,NaN,7,7,NaN,17,17
220,1,2,1,NaN,NaN,2,NaN,NaN
221,4,7,NaN,4,NaN,NaN,7,NaN
222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
224,1,1,1,NaN,NaN,1,NaN,NaN
225,5,9,NaN,5,NaN,NaN,9,NaN
226,2,3,2,NaN,NaN,3,NaN,NaN
227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
228,2,14,2,NaN,NaN,14,NaN,NaN
229,2,3,2,NaN,NaN,3,NaN,NaN
230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
231,7,16,NaN,7,7,NaN,16,16
232,7,17,NaN,7,7,NaN,17,17
233,1,1,1,NaN,NaN,1,NaN,NaN
234,5,9,NaN,5,NaN,NaN,9,NaN
235,4,7,NaN,4,NaN,NaN,7,NaN
236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
237,1,1,1,NaN,NaN,1,NaN,NaN
238,3,6,NaN,3,3,NaN,6,6
239,4,7,NaN,4,NaN,NaN,7,NaN
240,1,1,1,NaN,NaN,1,NaN,NaN
241,2,3,2,NaN,NaN,3,NaN,NaN
242,7,16,NaN,7,7,NaN,16,16
243,2,7,2,NaN,NaN,NaN,7,NaN
244,7,17,NaN,7,7,NaN,17,17
245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
246,7,17,NaN,7,7,NaN,17,17
247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
248,2,3,2,NaN,NaN,3,NaN,NaN
249,7,17,NaN,7,7,NaN,17,17
250,1,1,1,NaN,NaN,1,NaN,NaN
251,4,7,NaN,4,NaN,NaN,7,NaN
252,2,3,2,NaN,NaN,3,NaN,NaN
253,5,15,NaN,5,NaN,NaN,15,15
254,3,5,NaN,3,3,NaN,5,5
255,2,3,2,NaN,NaN,3,NaN,NaN
256,5,10,NaN,5,NaN,NaN,10,NaN
257,1,2,1,NaN,NaN,2,NaN,NaN
258,2,4,2,NaN,NaN,4,NaN,NaN
259,2,4,2,NaN,NaN,4,NaN,NaN
260,5,9,NaN,5,NaN,NaN,9,NaN
261,3,5,NaN,3,3,NaN,5,5
262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
263,1,1,1,NaN,NaN,1,NaN,NaN
264,7,8,NaN,7,7,NaN,8,NaN
265,7,16,NaN,7,7,NaN,16,16
266,3,6,NaN,3,3,NaN,6,6
267,4,7,NaN,4,NaN,NaN,7,NaN
268,3,5,NaN,3,3,NaN,5,5
269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
271,2,4,2,NaN,NaN,4,NaN,NaN
272,7,15,NaN,7,7,NaN,15,15
273,7,17,NaN,7,7,NaN,17,17
274,6,8,NaN,6,6,NaN,8,NaN
275,6,8,NaN,6,6,NaN,8,NaN
276,6,13,NaN,6,6,NaN,13,13
277,7,16,NaN,7,7,NaN,16,16
278,2,7,2,NaN,NaN,NaN,7,NaN
279,5,9,NaN,5,NaN,NaN,9,NaN
280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
281,7,17,NaN,7,7,NaN,17,17
282,1,5,1,NaN,NaN,NaN,5,5
283,7,17,NaN,7,7,NaN,17,17
284,1,2,1,NaN,NaN,2,NaN,NaN
285,7,11,NaN,7,7,NaN,11,11
286,4,7,NaN,4,NaN,NaN,7,NaN
287,4,8,NaN,4,NaN,NaN,8,NaN
288,3,6,NaN,3,3,NaN,6,6
289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
290,6,12,NaN,6,6,NaN,12,12
291,3,6,NaN,3,3,NaN,6,6
292,1,1,1,NaN,NaN,1,NaN,NaN
293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
294,7,16,NaN,7,7,NaN,16,16
295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
296,2,3,2,NaN,NaN,3,NaN,NaN
297,7,16,NaN,7,7,NaN,16,16
298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,3,6,NaN,3,3,NaN,6,6
301,1,2,1,NaN,NaN,2,NaN,NaN
302,5,17,NaN,5,NaN,NaN,17,17
303,3,12,NaN,3,3,NaN,12,12
305,4,7,NaN,4,NaN,NaN,7,NaN
306,3,6,NaN,3,3,NaN,6,6
307,1,1,1,NaN,NaN,1,NaN,NaN
308,2,14,2,NaN,NaN,14,NaN,NaN
309,7,16,NaN,7,7,NaN,16,16
310,6,13,NaN,6,6,NaN,13,13
311,6,12,NaN,6,6,NaN,12,12
312,5,9,NaN,5,NaN,NaN,9,NaN
313,3,5,NaN,3,3,NaN,5,5
314,6,12,NaN,6,6,NaN,12,12
315,7,17,NaN,7,7,NaN,17,17
316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
317,4,6,NaN,4,NaN,NaN,6,6
318,6,8,NaN,6,6,NaN,8,NaN
319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
320,1,1,1,NaN,NaN,1,NaN,NaN
321,7,17,NaN,7,7,NaN,17,17
322,2,4,2,NaN,NaN,4,NaN,NaN
323,3,6,NaN,3,3,NaN,6,6
324,4,7,NaN,4,NaN,NaN,7,NaN
325,5,9,NaN,5,NaN,NaN,9,NaN
326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
327,7,17,NaN,7,7,NaN,17,17
328,1,1,1,NaN,NaN,1,NaN,NaN
329,4,7,NaN,4,NaN,NaN,7,NaN
330,3,6,NaN,3,3,NaN,6,6
331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
332,7,16,NaN,7,7,NaN,16,16
333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
335,6,13,NaN,6,6,NaN,13,13
336,7,13,NaN,7,7,NaN,13,13
337,1,15,1,NaN,NaN,NaN,15,15
338,1,2,1,NaN,NaN,2,NaN,NaN
339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
340,7,15,NaN,7,7,NaN,15,15
341,6,12,NaN,6,6,NaN,12,12
342,7,16,NaN,7,7,NaN,16,16
343,2,4,2,NaN,NaN,4,NaN,NaN
344,4,7,NaN,4,NaN,NaN,7,NaN
345,7,16,NaN,7,7,NaN,16,16
346,7,16,NaN,7,7,NaN,16,16
347,3,6,NaN,3,3,NaN,6,6
348,1,1,1,NaN,NaN,1,NaN,NaN
349,7,17,NaN,7,7,NaN,17,17
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
352,7,16,NaN,7,7,NaN,16,16
353,4,7,NaN,4,NaN,NaN,7,NaN
354,7,17,NaN,7,7,NaN,17,17
355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
356,7,14,NaN,7,7,14,NaN,NaN
357,1,1,1,NaN,NaN,1,NaN,NaN
358,7,14,NaN,7,7,14,NaN,NaN
359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
362,7,17,NaN,7,7,NaN,17,17
363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
364,4,8,NaN,4,NaN,NaN,8,NaN
365,7,14,NaN,7,7,14,NaN,NaN
366,7,16,NaN,7,7,NaN,16,16
367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
368,1,1,1,NaN,NaN,1,NaN,NaN
369,2,3,2,NaN,NaN,3,NaN,NaN
370,6,13,NaN,6,6,NaN,13,13
371,2,4,2,NaN,NaN,4,NaN,NaN
372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
373,7,15,NaN,7,7,NaN,15,15
374,6,12,NaN,6,6,NaN,12,12
375,3,5,NaN,3,3,NaN,5,5
376,2,4,2,NaN,NaN,4,NaN,NaN
377,2,3,2,NaN,NaN,3,NaN,NaN
378,5,9,NaN,5,NaN,NaN,9,NaN
379,4,14,NaN,4,NaN,14,NaN,NaN
380,2,3,2,NaN,NaN,3,NaN,NaN
381,4,8,NaN,4,NaN,NaN,8,NaN
382,7,16,NaN,7,7,NaN,16,16
383,1,2,1,NaN,NaN,2,NaN,NaN
384,7,17,NaN,7,7,NaN,17,17
385,6,11,NaN,6,6,NaN,11,11
386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
387,2,4,2,NaN,NaN,4,NaN,NaN
388,6,8,NaN,6,6,NaN,8,NaN
389,1,2,1,NaN,NaN,2,NaN,NaN
390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
391,1,5,1,NaN,NaN,NaN,5,5
392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
394,6,12,NaN,6,6,NaN,12,12
395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
396,6,13,NaN,6,6,NaN,13,13
397,7,17,NaN,7,7,NaN,17,17
398,7,16,NaN,7,7,NaN,16,16
400,4,8,NaN,4,NaN,NaN,8,NaN
401,7,16,NaN,7,7,NaN,16,16
402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403,7,13,NaN,7,7,NaN,13,13
404,2,4,2,NaN,NaN,4,NaN,NaN
405,6,8,NaN,6,6,NaN,8,NaN
406,7,14,NaN,7,7,14,NaN,NaN
407,1,1,1,NaN,NaN,1,NaN,NaN
408,1,2,1,NaN,NaN,2,NaN,NaN
409,2,4,2,NaN,NaN,4,NaN,NaN
410,7,17,NaN,7,7,NaN,17,17
411,4,7,NaN,4,NaN,NaN,7,NaN
412,4,7,NaN,4,NaN,NaN,7,NaN
413,3,5,NaN,3,3,NaN,5,5
414,6,11,NaN,6,6,NaN,11,11
415,6,8,NaN,6,6,NaN,8,NaN
416,7,16,NaN,7,7,NaN,16,16
417,1,5,1,NaN,NaN,NaN,5,5
418,5,10,NaN,5,NaN,NaN,10,NaN
419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
420,3,6,NaN,3,3,NaN,6,6
421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
423,2,4,2,NaN,NaN,4,NaN,NaN
424,6,8,NaN,6,6,NaN,8,NaN
425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
426,4,7,NaN,4,NaN,NaN,7,NaN
